Category,Kmer,Sample,Program,Score,Reads
Duplicated,KmerB,CE2,Transpi,14.7,"50,516,835"
Duplicated,KmerB,CE3,Transpi,6.1,"41,947,175"
Duplicated,KmerB,CE4,Transpi,4.5,"44,969,393"
Duplicated,KmerB,CE5,Transpi,4.5,"45,605,396"
Duplicated,KmerB,DM1,Transpi,20,"87,423,452"
Duplicated,KmerB,DM2,Transpi,17.1,"85,714,154"
Duplicated,KmerB,DM3,Transpi,19.2,"88,252,694"
Duplicated,KmerB,DM4,Transpi,19.1,"82,110,608"
Duplicated,KmerB,DM5,Transpi,22.7,"102,413,880"
Duplicated,KmerB,DM6,Transpi,19.5,"98,529,578"
Duplicated,KmerC,MM1,Transpi,13.9,"33,700,156"
Duplicated,KmerC,MM2,Transpi,15.6,"41,236,457"
Duplicated,KmerC,MM3,Transpi,15.1,"35,598,598"
Duplicated,KmerC,MM4,Transpi,11.5,"41,745,958"
Duplicated,KmerC,MM5,Transpi,13.7,"45,329,544"
Duplicated,KmerC,MM6,Transpi,11.9,"44,469,310"
Duplicated,KmerC,CE1,Transpi,11.8,"40,302,838"
Duplicated,KmerC,CE2,Transpi,13.7,"50,516,835"
Duplicated,KmerC,CE3,Transpi,6,"41,947,175"
Duplicated,KmerC,CE4,Transpi,4.4,"44,969,393"
Duplicated,KmerC,CE5,Transpi,4.7,"45,605,396"
Duplicated,KmerC,DM1,Transpi,17.4,"87,423,452"
Duplicated,KmerC,DM2,Transpi,19.4,"85,714,154"
Duplicated,KmerC,DM3,Transpi,18,"88,252,694"
Duplicated,KmerC,DM4,Transpi,18.8,"82,110,608"
Duplicated,KmerC,DM5,Transpi,20.7,"102,413,880"
Duplicated,KmerC,DM6,Transpi,18.9,"98,529,578"
Fragmented,KmerA,MM1,Transpi,1.2,"33,700,156"
Fragmented,KmerA,MM2,Transpi,1,"41,236,457"
Fragmented,KmerA,MM3,Transpi,0.9,"35,598,598"
Fragmented,KmerA,MM4,Transpi,3,"41,745,958"
Fragmented,KmerA,MM5,Transpi,1.5,"45,329,544"
Fragmented,KmerA,MM6,Transpi,2.4,"44,469,310"
Fragmented,KmerA,CE1,Transpi,1.8,"40,302,838"
Fragmented,KmerA,CE2,Transpi,1.7,"50,516,835"
Fragmented,KmerA,CE3,Transpi,2.4,"41,947,175"
Fragmented,KmerA,CE4,Transpi,1.9,"44,969,393"
Fragmented,KmerA,CE5,Transpi,1.9,"45,605,396"
Fragmented,KmerA,DM1,Transpi,1.1,"87,423,452"
Fragmented,KmerA,DM2,Transpi,0.7,"85,714,154"
Fragmented,KmerA,DM3,Transpi,1.2,"88,252,694"
Fragmented,KmerA,DM4,Transpi,0.6,"82,110,608"
Fragmented,KmerA,DM5,Transpi,1.1,"102,413,880"
Fragmented,KmerA,DM6,Transpi,0.8,"98,529,578"
Fragmented,KmerB,MM1,Transpi,1.3,"33,700,156"
Fragmented,KmerB,MM2,Transpi,0.8,"41,236,457"
Fragmented,KmerB,MM3,Transpi,1.1,"35,598,598"
