Category,Kmer,Sample,Program,Score,Reads
Single-Copy,KmerC,CE5,Transpi,71.4,"12,567,755"
Single-Copy,KmerC,CE6,Transpi,63.1,"14,372,593"
Single-Copy,KmerC,DM1,Transpi,78.9,"30,515,068"
Single-Copy,KmerC,DM2,Transpi,79,"24,284,630"
Single-Copy,KmerC,DM3,Transpi,82.3,"24,773,404"
Single-Copy,KmerC,DM4,Transpi,79.8,"30,140,704"
Single-Copy,KmerC,DM5,Transpi,80,"25,828,680"
Single-Copy,KmerC,DM6,Transpi,81.7,"19,049,236"
Duplicated,KmerA,MM1,Transpi,20,"182,180,123"
Duplicated,KmerA,MM2,Transpi,21.5,"107,280,600"
Duplicated,KmerA,MM3,Transpi,20.1,"127,017,374"
Duplicated,KmerA,MM4,Transpi,17.4,"102,909,165"
Duplicated,KmerA,MM5,Transpi,15.1,"65,372,078"
Duplicated,KmerA,MM6,Transpi,3.4,"27,016,597"
Duplicated,KmerA,CE1,Transpi,5.9,"49,743,412"
Duplicated,KmerA,CE2,Transpi,3.7,"38,836,876"
Duplicated,KmerA,CE3,Transpi,3.2,"11,166,310"
Duplicated,KmerA,CE4,Transpi,3.8,"11,626,153"
Duplicated,KmerA,CE5,Transpi,12.3,"12,567,755"
Duplicated,KmerA,CE6,Transpi,7.3,"14,372,593"
Duplicated,KmerA,DM1,Transpi,15.2,"30,515,068"
Duplicated,KmerA,DM2,Transpi,17.2,"24,284,630"
Duplicated,KmerA,DM3,Transpi,14.1,"24,773,404"
Duplicated,KmerA,DM4,Transpi,16.7,"30,140,704"
Duplicated,KmerA,DM5,Transpi,14.6,"25,828,680"
Duplicated,KmerA,DM6,Transpi,15,"19,049,236"
Duplicated,KmerB,MM1,Transpi,20.9,"182,180,123"
Duplicated,KmerB,MM2,Transpi,20,"107,280,600"
Duplicated,KmerB,MM3,Transpi,20.1,"127,017,374"
Duplicated,KmerB,MM4,Transpi,16.1,"102,909,165"
Duplicated,KmerB,MM5,Transpi,15.1,"65,372,078"
Duplicated,KmerB,MM6,Transpi,3.5,"27,016,597"
Duplicated,KmerB,CE1,Transpi,5.4,"49,743,412"
Duplicated,KmerB,CE2,Transpi,3.5,"38,836,876"
Duplicated,KmerB,CE3,Transpi,3.6,"11,166,310"
Duplicated,KmerB,CE4,Transpi,4.2,"11,626,153"
Duplicated,KmerB,CE5,Transpi,12.8,"12,567,755"
Duplicated,KmerB,CE6,Transpi,6.3,"14,372,593"
Duplicated,KmerB,DM1,Transpi,17.1,"30,515,068"
Duplicated,KmerB,DM2,Transpi,17.2,"24,284,630"
Duplicated,KmerB,DM3,Transpi,14.3,"24,773,404"
Duplicated,KmerB,DM4,Transpi,16.5,"30,140,704"
Duplicated,KmerB,DM5,Transpi,13.7,"25,828,680"
Duplicated,KmerB,DM6,Transpi,13.5,"19,049,236"
Duplicated,KmerC,MM1,Transpi,21.6,"182,180,123"
Duplicated,KmerC,MM2,Transpi,22.1,"107,280,600"
Duplicated,KmerC,MM3,Transpi,20.4,"127,017,374"
Duplicated,KmerC,MM4,Transpi,2.4,"102,909,165"
Duplicated,KmerC,MM5,Transpi,17.4,"65,372,078"
Duplicated,KmerC,MM6,Transpi,2.9,"27,016,597"
Duplicated,KmerC,CE1,Transpi,5.7,"49,743,412"
Duplicated,KmerC,CE2,Transpi,4.3,"38,836,876"
Duplicated,KmerC,CE3,Transpi,3.2,"11,166,310"
Duplicated,KmerC,CE4,Transpi,3.7,"11,626,153"
Duplicated,KmerC,CE5,Transpi,13.6,"12,567,755"
Duplicated,KmerC,CE6,Transpi,6.6,"14,372,593"
Duplicated,KmerC,DM1,Transpi,16.8,"30,515,068"
Duplicated,KmerC,DM2,Transpi,16.9,"24,284,630"
Duplicated,KmerC,DM3,Transpi,13.3,"24,773,404"
Duplicated,KmerC,DM4,Transpi,15.5,"30,140,704"
Duplicated,KmerC,DM5,Transpi,15,"25,828,680"
Duplicated,KmerC,DM6,Transpi,13.7,"19,049,236"
Fragmented,KmerA,MM1,Transpi,2.1,"182,180,123"
Fragmented,KmerA,MM2,Transpi,1.7,"107,280,600"
Fragmented,KmerA,MM3,Transpi,1.3,"127,017,374"
Fragmented,KmerA,MM4,Transpi,2.2,"102,909,165"
Fragmented,KmerA,MM5,Transpi,2.5,"65,372,078"
Fragmented,KmerA,MM6,Transpi,19.9,"27,016,597"
Fragmented,KmerA,CE1,Transpi,3.3,"49,743,412"
Fragmented,KmerA,CE2,Transpi,2.7,"38,836,876"
Fragmented,KmerA,CE3,Transpi,13.1,"11,166,310"
Fragmented,KmerA,CE4,Transpi,4.6,"11,626,153"
Fragmented,KmerA,CE5,Transpi,2.6,"12,567,755"
Fragmented,KmerA,CE6,Transpi,11.3,"14,372,593"
Fragmented,KmerA,DM1,Transpi,1.3,"30,515,068"
Fragmented,KmerA,DM2,Transpi,0.8,"24,284,630"
Fragmented,KmerA,DM3,Transpi,1.7,"24,773,404"
Fragmented,KmerA,DM4,Transpi,1.3,"30,140,704"
Fragmented,KmerA,DM5,Transpi,1.6,"25,828,680"
Fragmented,KmerA,DM6,Transpi,1.4,"19,049,236"
Fragmented,KmerB,MM1,Transpi,1.6,"182,180,123"
Fragmented,KmerB,MM2,Transpi,2.6,"107,280,600"
Fragmented,KmerB,MM3,Transpi,1.9,"127,017,374"
Fragmented,KmerB,MM4,Transpi,2.9,"102,909,165"
Fragmented,KmerB,MM5,Transpi,2,"65,372,078"
Fragmented,KmerB,MM6,Transpi,19.5,"27,016,597"
Fragmented,KmerB,CE1,Transpi,3.3,"49,743,412"
Fragmented,KmerB,CE2,Transpi,2.8,"38,836,876"
Fragmented,KmerB,CE3,Transpi,13.2,"11,166,310"
Fragmented,KmerB,CE4,Transpi,4.5,"11,626,153"
Fragmented,KmerB,CE5,Transpi,2.6,"12,567,755"
Fragmented,KmerB,CE6,Transpi,11.2,"14,372,593"
Fragmented,KmerB,DM1,Transpi,1.6,"30,515,068"
Fragmented,KmerB,DM2,Transpi,1,"24,284,630"
Fragmented,KmerB,DM3,Transpi,1.7,"24,773,404"
Fragmented,KmerB,DM4,Transpi,1.5,"30,140,704"
Fragmented,KmerB,DM5,Transpi,1.4,"25,828,680"
Fragmented,KmerB,DM6,Transpi,1.3,"19,049,236"
Fragmented,KmerC,MM1,Transpi,1.8,"182,180,123"
Fragmented,KmerC,MM2,Transpi,1.8,"107,280,600"
Fragmented,KmerC,MM3,Transpi,1.5,"127,017,374"
Fragmented,KmerC,MM4,Transpi,19.7,"102,909,165"
Fragmented,KmerC,MM5,Transpi,2.1,"65,372,078"
Fragmented,KmerC,MM6,Transpi,20,"27,016,597"
Fragmented,KmerC,CE1,Transpi,3.2,"49,743,412"
Fragmented,KmerC,CE2,Transpi,2.8,"38,836,876"
Fragmented,KmerC,CE3,Transpi,13.9,"11,166,310"
Fragmented,KmerC,CE4,Transpi,4.4,"11,626,153"
Fragmented,KmerC,CE5,Transpi,2.7,"12,567,755"
Fragmented,KmerC,CE6,Transpi,11.2,"14,372,593"
Fragmented,KmerC,DM1,Transpi,1.2,"30,515,068"
Fragmented,KmerC,DM2,Transpi,0.8,"24,284,630"
Fragmented,KmerC,DM3,Transpi,1.6,"24,773,404"
Fragmented,KmerC,DM4,Transpi,1.5,"30,140,704"
Fragmented,KmerC,DM5,Transpi,1.5,"25,828,680"
Fragmented,KmerC,DM6,Transpi,1,"19,049,236"
Missing,KmerA,MM1,Transpi,1.6,"182,180,123"
Missing,KmerA,MM2,Transpi,1.3,"107,280,600"
Missing,KmerA,MM3,Transpi,1.4,"127,017,374"
Missing,KmerA,MM4,Transpi,0.5,"102,909,165"
Missing,KmerA,MM5,Transpi,0.2,"65,372,078"
Missing,KmerA,MM6,Transpi,26.2,"27,016,597"
Missing,KmerA,CE1,Transpi,14.4,"49,743,412"
Missing,KmerA,CE2,Transpi,15,"38,836,876"
Missing,KmerA,CE3,Transpi,19.8,"11,166,310"
Missing,KmerA,CE4,Transpi,15,"11,626,153"
Missing,KmerA,CE5,Transpi,12.1,"12,567,755"
Missing,KmerA,CE6,Transpi,19.1,"14,372,593"
Missing,KmerA,DM1,Transpi,3.3,"30,515,068"
Missing,KmerA,DM2,Transpi,3.4,"24,284,630"
Missing,KmerA,DM3,Transpi,3.3,"24,773,404"
Missing,KmerA,DM4,Transpi,3.1,"30,140,704"
Missing,KmerA,DM5,Transpi,3.8,"25,828,680"
Missing,KmerA,DM6,Transpi,3.4,"19,049,236"
Missing,KmerB,MM1,Transpi,1.5,"182,180,123"
Missing,KmerB,MM2,Transpi,0.7,"107,280,600"
Missing,KmerB,MM3,Transpi,1.8,"127,017,374"
Missing,KmerB,MM4,Transpi,0.2,"102,909,165"
Missing,KmerB,MM5,Transpi,0.5,"65,372,078"
Missing,KmerB,MM6,Transpi,26.4,"27,016,597"
Missing,KmerB,CE1,Transpi,14.3,"49,743,412"
Missing,KmerB,CE2,Transpi,14.9,"38,836,876"
Missing,KmerB,CE3,Transpi,19.9,"11,166,310"
Missing,KmerB,CE4,Transpi,15,"11,626,153"
Missing,KmerB,CE5,Transpi,12.3,"12,567,755"
Missing,KmerB,CE6,Transpi,19.3,"14,372,593"
Missing,KmerB,DM1,Transpi,3,"30,515,068"
Missing,KmerB,DM2,Transpi,3.4,"24,284,630"
Missing,KmerB,DM3,Transpi,3,"24,773,404"
Missing,KmerB,DM4,Transpi,2.8,"30,140,704"
Missing,KmerB,DM5,Transpi,3.7,"25,828,680"
Missing,KmerB,DM6,Transpi,3.7,"19,049,236"
Missing,KmerC,MM1,Transpi,1.5,"182,180,123"
Missing,KmerC,MM2,Transpi,0.9,"107,280,600"
Missing,KmerC,MM3,Transpi,1.1,"127,017,374"
Missing,KmerC,MM4,Transpi,37.6,"102,909,165"
Missing,KmerC,MM5,Transpi,0.6,"65,372,078"
Missing,KmerC,MM6,Transpi,26.2,"27,016,597"
Missing,KmerC,CE1,Transpi,14.4,"49,743,412"
Missing,KmerC,CE2,Transpi,15,"38,836,876"
Missing,KmerC,CE3,Transpi,19.5,"11,166,310"
Missing,KmerC,CE4,Transpi,15.1,"11,626,153"
Missing,KmerC,CE5,Transpi,12.3,"12,567,755"
Missing,KmerC,CE6,Transpi,19.1,"14,372,593"
Missing,KmerC,DM1,Transpi,3.1,"30,515,068"
Missing,KmerC,DM2,Transpi,3.3,"24,284,630"
Missing,KmerC,DM3,Transpi,2.8,"24,773,404"
Missing,KmerC,DM4,Transpi,3.2,"30,140,704"
Missing,KmerC,DM5,Transpi,3.5,"25,828,680"
Missing,KmerC,DM6,Transpi,3.6,"19,049,236"
Complete,KmerA,MM1,Trinity,98.9,"182,180,123"
Complete,KmerA,MM2,Trinity,98.8,"107,280,600"
Complete,KmerA,MM3,Trinity,99.1,"127,017,374"
Complete,KmerA,MM4,Trinity,43.3,"102,909,165"
Complete,KmerA,MM5,Trinity,98.1,"65,372,078"
Complete,KmerA,MM6,Trinity,55.3,"27,016,597"
Complete,KmerA,CE1,Trinity,82.1,"49,743,412"
Complete,KmerA,CE2,Trinity,82.1,"38,836,876"
Complete,KmerA,CE3,Trinity,63.5,"11,166,310"
Complete,KmerA,CE4,Trinity,79.4,"11,626,153"
Complete,KmerA,CE5,Trinity,85.7,"12,567,755"
Complete,KmerA,CE6,Trinity,69.4,"14,372,593"
Complete,KmerA,DM1,Trinity,97.2,"30,515,068"
Complete,KmerA,DM2,Trinity,96.5,"24,284,630"
Complete,KmerA,DM3,Trinity,96.9,"24,773,404"
Complete,KmerA,DM4,Trinity,97,"30,140,704"
Complete,KmerA,DM5,Trinity,96.6,"25,828,680"
Complete,KmerA,DM6,Trinity,96.3,"19,049,236"
Complete,KmerB,MM1,Trinity,98.9,"182,180,123"
Complete,KmerB,MM2,Trinity,99.2,"107,280,600"
Complete,KmerB,MM3,Trinity,99.1,"127,017,374"
Complete,KmerB,MM4,Trinity,43.2,"102,909,165"
Complete,KmerB,MM5,Trinity,98,"65,372,078"
Complete,KmerB,MM6,Trinity,55.7,"27,016,597"
Complete,KmerB,CE1,Trinity,82.1,"49,743,412"
Complete,KmerB,CE2,Trinity,82.1,"38,836,876"
Complete,KmerB,CE3,Trinity,63.5,"11,166,310"
Complete,KmerB,CE4,Trinity,79.5,"11,626,153"
Complete,KmerB,CE5,Trinity,85.7,"12,567,755"
Complete,KmerB,CE6,Trinity,69.4,"14,372,593"
Complete,KmerB,DM1,Trinity,97.2,"30,515,068"
Complete,KmerB,DM2,Trinity,96.6,"24,284,630"
Complete,KmerB,DM3,Trinity,97,"24,773,404"
Complete,KmerB,DM4,Trinity,97.1,"30,140,704"
Complete,KmerB,DM5,Trinity,96.4,"25,828,680"
Complete,KmerB,DM6,Trinity,96.4,"19,049,236"
Complete,KmerC,MM1,Trinity,98.7,"182,180,123"
Complete,KmerC,MM2,Trinity,98.9,"107,280,600"
Complete,KmerC,MM3,Trinity,98.9,"127,017,374"
Complete,KmerC,MM4,Trinity,43.4,"102,909,165"
Complete,KmerC,MM5,Trinity,98,"65,372,078"
Complete,KmerC,MM6,Trinity,55.3,"27,016,597"
Complete,KmerC,CE1,Trinity,82,"49,743,412"
Complete,KmerC,CE2,Trinity,82.1,"38,836,876"
Complete,KmerC,CE3,Trinity,63.5,"11,166,310"
Complete,KmerC,CE4,Trinity,79.3,"11,626,153"
Complete,KmerC,CE5,Trinity,85.7,"12,567,755"
Complete,KmerC,CE6,Trinity,69.3,"14,372,593"
Complete,KmerC,DM1,Trinity,97.3,"30,515,068"
Complete,KmerC,DM2,Trinity,96.6,"24,284,630"
Complete,KmerC,DM3,Trinity,96.9,"24,773,404"
Complete,KmerC,DM4,Trinity,97,"30,140,704"
Complete,KmerC,DM5,Trinity,96.6,"25,828,680"
Complete,KmerC,DM6,Trinity,96.4,"19,049,236"
Single-Copy,KmerA,MM1,Trinity,34.3,"182,180,123"
Single-Copy,KmerA,MM2,Trinity,35.2,"107,280,600"
Single-Copy,KmerA,MM3,Trinity,33.6,"127,017,374"
Single-Copy,KmerA,MM4,Trinity,34.7,"102,909,165"
Single-Copy,KmerA,MM5,Trinity,40.3,"65,372,078"
Single-Copy,KmerA,MM6,Trinity,39.6,"27,016,597"
Single-Copy,KmerA,CE1,Trinity,68.8,"49,743,412"
Single-Copy,KmerA,CE2,Trinity,70.9,"38,836,876"
Single-Copy,KmerA,CE3,Trinity,46,"11,166,310"
Single-Copy,KmerA,CE4,Trinity,59.5,"11,626,153"
Single-Copy,KmerA,CE5,Trinity,68.9,"12,567,755"
Single-Copy,KmerA,CE6,Trinity,59.1,"14,372,593"
Single-Copy,KmerA,DM1,Trinity,61.2,"30,515,068"
Single-Copy,KmerA,DM2,Trinity,62.1,"24,284,630"
Single-Copy,KmerA,DM3,Trinity,64.9,"24,773,404"
Single-Copy,KmerA,DM4,Trinity,61.5,"30,140,704"
Single-Copy,KmerA,DM5,Trinity,62,"25,828,680"
Single-Copy,KmerA,DM6,Trinity,67.4,"19,049,236"
Single-Copy,KmerB,MM1,Trinity,31.5,"182,180,123"
Single-Copy,KmerB,MM2,Trinity,34.7,"107,280,600"
Single-Copy,KmerB,MM3,Trinity,35,"127,017,374"
Single-Copy,KmerB,MM4,Trinity,34.5,"102,909,165"
Single-Copy,KmerB,MM5,Trinity,39.5,"65,372,078"
Single-Copy,KmerB,MM6,Trinity,40.8,"27,016,597"
Single-Copy,KmerB,CE1,Trinity,67.8,"49,743,412"
Single-Copy,KmerB,CE2,Trinity,69.6,"38,836,876"
Single-Copy,KmerB,CE3,Trinity,45.8,"11,166,310"
Single-Copy,KmerB,CE4,Trinity,60.1,"11,626,153"
Single-Copy,KmerB,CE5,Trinity,67.6,"12,567,755"
Single-Copy,KmerB,CE6,Trinity,58.2,"14,372,593"
Single-Copy,KmerB,DM1,Trinity,60.9,"30,515,068"
Single-Copy,KmerB,DM2,Trinity,64,"24,284,630"
Single-Copy,KmerB,DM3,Trinity,64.6,"24,773,404"
Single-Copy,KmerB,DM4,Trinity,61.7,"30,140,704"
Single-Copy,KmerB,DM5,Trinity,62.8,"25,828,680"
Single-Copy,KmerB,DM6,Trinity,66.8,"19,049,236"
Single-Copy,KmerC,MM1,Trinity,32.9,"182,180,123"
Single-Copy,KmerC,MM2,Trinity,35.4,"107,280,600"
Single-Copy,KmerC,MM3,Trinity,33.8,"127,017,374"
Single-Copy,KmerC,MM4,Trinity,34.4,"102,909,165"
Single-Copy,KmerC,MM5,Trinity,41.5,"65,372,078"
Single-Copy,KmerC,MM6,Trinity,40.6,"27,016,597"
Single-Copy,KmerC,CE1,Trinity,68.2,"49,743,412"
Single-Copy,KmerC,CE2,Trinity,70.8,"38,836,876"
Single-Copy,KmerC,CE3,Trinity,46.1,"11,166,310"
Single-Copy,KmerC,CE4,Trinity,59.5,"11,626,153"
Single-Copy,KmerC,CE5,Trinity,68.1,"12,567,755"
Single-Copy,KmerC,CE6,Trinity,58.7,"14,372,593"
Single-Copy,KmerC,DM1,Trinity,61,"30,515,068"
Single-Copy,KmerC,DM2,Trinity,62.8,"24,284,630"
Single-Copy,KmerC,DM3,Trinity,63.9,"24,773,404"
Single-Copy,KmerC,DM4,Trinity,60.2,"30,140,704"
Single-Copy,KmerC,DM5,Trinity,61.6,"25,828,680"
Single-Copy,KmerC,DM6,Trinity,66.8,"19,049,236"
Duplicated,KmerA,MM1,Trinity,64.6,"182,180,123"
Duplicated,KmerA,MM2,Trinity,63.6,"107,280,600"
Duplicated,KmerA,MM3,Trinity,65.5,"127,017,374"
Duplicated,KmerA,MM4,Trinity,8.6,"102,909,165"
Duplicated,KmerA,MM5,Trinity,57.8,"65,372,078"
Duplicated,KmerA,MM6,Trinity,15.7,"27,016,597"
Duplicated,KmerA,CE1,Trinity,13.3,"49,743,412"
Duplicated,KmerA,CE2,Trinity,11.2,"38,836,876"
Duplicated,KmerA,CE3,Trinity,17.5,"11,166,310"
Duplicated,KmerA,CE4,Trinity,19.9,"11,626,153"
Duplicated,KmerA,CE5,Trinity,16.8,"12,567,755"
Duplicated,KmerA,CE6,Trinity,10.3,"14,372,593"
Duplicated,KmerA,DM1,Trinity,36,"30,515,068"
Duplicated,KmerA,DM2,Trinity,34.4,"24,284,630"
Duplicated,KmerA,DM3,Trinity,32,"24,773,404"
Duplicated,KmerA,DM4,Trinity,35.5,"30,140,704"
Duplicated,KmerA,DM5,Trinity,34.6,"25,828,680"
Duplicated,KmerA,DM6,Trinity,28.9,"19,049,236"
Duplicated,KmerB,MM1,Trinity,67.4,"182,180,123"
Duplicated,KmerB,MM2,Trinity,64.5,"107,280,600"
Duplicated,KmerB,MM3,Trinity,64.1,"127,017,374"
Duplicated,KmerB,MM4,Trinity,8.7,"102,909,165"
Duplicated,KmerB,MM5,Trinity,58.5,"65,372,078"
Duplicated,KmerB,MM6,Trinity,14.9,"27,016,597"
Duplicated,KmerB,CE1,Trinity,14.3,"49,743,412"
Duplicated,KmerB,CE2,Trinity,12.5,"38,836,876"
Duplicated,KmerB,CE3,Trinity,17.7,"11,166,310"
Duplicated,KmerB,CE4,Trinity,19.4,"11,626,153"
Duplicated,KmerB,CE5,Trinity,18.1,"12,567,755"
Duplicated,KmerB,CE6,Trinity,11.2,"14,372,593"
Duplicated,KmerB,DM1,Trinity,36.3,"30,515,068"
Duplicated,KmerB,DM2,Trinity,32.6,"24,284,630"
Duplicated,KmerB,DM3,Trinity,32.4,"24,773,404"
Duplicated,KmerB,DM4,Trinity,35.4,"30,140,704"
Duplicated,KmerB,DM5,Trinity,33.6,"25,828,680"
Duplicated,KmerB,DM6,Trinity,29.6,"19,049,236"
Duplicated,KmerC,MM1,Trinity,65.8,"182,180,123"
Duplicated,KmerC,MM2,Trinity,63.5,"107,280,600"
Duplicated,KmerC,MM3,Trinity,65.1,"127,017,374"
Duplicated,KmerC,MM4,Trinity,9,"102,909,165"
Duplicated,KmerC,MM5,Trinity,56.5,"65,372,078"
Duplicated,KmerC,MM6,Trinity,14.7,"27,016,597"
Duplicated,KmerC,CE1,Trinity,13.8,"49,743,412"
Duplicated,KmerC,CE2,Trinity,11.3,"38,836,876"
Duplicated,KmerC,CE3,Trinity,17.4,"11,166,310"
Duplicated,KmerC,CE4,Trinity,19.8,"11,626,153"
Duplicated,KmerC,CE5,Trinity,17.6,"12,567,755"
Duplicated,KmerC,CE6,Trinity,10.6,"14,372,593"
Duplicated,KmerC,DM1,Trinity,36.3,"30,515,068"
Duplicated,KmerC,DM2,Trinity,33.8,"24,284,630"
Duplicated,KmerC,DM3,Trinity,33,"24,773,404"
Duplicated,KmerC,DM4,Trinity,36.8,"30,140,704"
Duplicated,KmerC,DM5,Trinity,35,"25,828,680"
Duplicated,KmerC,DM6,Trinity,29.6,"19,049,236"
Fragmented,KmerA,MM1,Trinity,0.8,"182,180,123"
Fragmented,KmerA,MM2,Trinity,0.9,"107,280,600"
Fragmented,KmerA,MM3,Trinity,0.5,"127,017,374"
Fragmented,KmerA,MM4,Trinity,30.4,"102,909,165"
Fragmented,KmerA,MM5,Trinity,1.8,"65,372,078"
Fragmented,KmerA,MM6,Trinity,28.2,"27,016,597"
Fragmented,KmerA,CE1,Trinity,3.9,"49,743,412"
Fragmented,KmerA,CE2,Trinity,3.3,"38,836,876"
Fragmented,KmerA,CE3,Trinity,17.2,"11,166,310"
Fragmented,KmerA,CE4,Trinity,6,"11,626,153"
Fragmented,KmerA,CE5,Trinity,2.6,"12,567,755"
Fragmented,KmerA,CE6,Trinity,12.7,"14,372,593"
Fragmented,KmerA,DM1,Trinity,0.6,"30,515,068"
